"t","y","mu","q_001","q_005","q_010","q_015","q_020","q_025","q_030","q_035","q_040","q_045","q_050","q_055","q_060","q_065","q_070","q_075","q_080","q_085","q_090","q_095","q_099"
1,14.1452411180846,10.3847817722221,0.645898802283613,3.49886537325536,5.01977129547808,6.04591930068469,6.86146920566915,7.56113840620533,8.18946297247253,8.77169932219834,9.32418468107136,9.85872065964197,10.3847817722221,10.9108428848023,11.4453788633729,11.9978642222459,12.5801005719717,13.2084251382389,13.9080943387751,14.7236442437596,15.7497922489662,17.2706981711889,20.1236647421606
2,32.5277983586673,31.995136169006,22.2562544315719,25.1092206414865,26.6301263712309,27.6562742465734,28.4718240483459,29.1714931603354,29.799817647085,30.3820539231259,30.9345392120791,31.4690751230015,31.995136169006,32.5211972150105,33.0557331259329,33.6082184148861,34.190454690927,34.8187791776766,35.5184482896661,36.3339980914387,37.3601459667811,38.8810516965255,41.7340179064401
3,55.0639590133881,49.7943674246228,40.0554869184538,42.9084527676742,44.4293583051339,45.4555060507428,46.2710557494072,46.9707247729391,47.599049180251,48.1812853826811,48.7337706017848,49.268306445127,49.7943674246228,50.3204284041186,50.8549642474608,51.4074494665645,51.9896856689946,52.6180100763065,53.3176790998384,54.1332287985028,55.1593765441117,56.6802820815714,59.5332479307918
4,71.9830872932587,67.2640756797384,57.525196403597,60.3781618924857,61.899067237854,62.9252148538596,63.7407644495195,64.4404333846827,65.0687577126369,65.6509938415301,66.2034789908545,66.7380147666845,67.2640756797384,67.7901365927922,68.3246723686222,68.8771575179467,69.4593936468399,70.087717974794,70.7873869099572,71.6029365056171,72.6290841216227,74.149989466991,77.0029549558797
5,84.2586310544933,81.1464237702484,71.407545722899,74.2605108518181,75.7814160052878,76.8075634918205,77.6231129845793,78.3227818314626,78.9511060801386,79.5333421355688,80.0858272151841,80.6203629235696,81.1464237702484,81.6724846169272,82.2070203253127,82.7595054049279,83.3417414603582,83.9700657090342,84.6697345559175,85.4852840486763,86.511431535209,88.0323366886787,90.8853018175978
6,83.3288816027642,90.3705133289268,80.6316365091356,83.4846012784465,85.0055062402104,86.0316535974001,86.8472029873612,87.5468717460532,88.1751959155307,88.7574318975717,89.3099169075478,89.8444525485566,90.3705133289268,90.8965741092971,91.4311097503059,91.983594760282,92.565830742323,93.1941549118005,93.8938236704925,94.7093730604536,95.7355204176433,97.2564253794072,100.109390148718
7,89.8535536803483,89.8488553113699,80.1099797179049,82.9629441279684,84.483848898219,85.5099961261954,86.325545413462,87.0252140840512,87.6535381744097,88.2357740831351,88.7882590235419,89.3227945972416,89.8488553113699,90.3749160254982,90.9094515991979,91.4619365396047,92.0441724483301,92.6724965386886,93.3721652092778,94.1877144965444,95.2138617245208,96.7347664947714,99.5877309048349
8,88.9119057886707,88.6956598888633,78.9567855204945,81.809749571671,83.3306541506002,84.3568012494931,85.1723504341681,85.8720190167429,86.5003430280617,87.0825788635451,87.6350637344524,88.1695992409105,88.6956598888633,89.2217205368161,89.7562560432742,90.3087409141815,90.8909767496649,91.5193007609837,92.2189693435585,93.0345185282335,94.0606656271264,95.5815702060555,98.4345342572321
9,79.7607315900267,83.9596839905405,74.2208108460397,77.073774538689,78.5946789264887,79.6208258964273,80.4363749786136,81.1360434732623,81.7643674056207,82.3466031679355,82.8990879694129,83.4336234086968,83.9596839905405,84.4857445723841,85.020280011668,85.5727648131455,86.1550005754603,86.7833245078186,87.4829930024673,88.2985420846536,89.3246890545923,90.8455934423919,93.6985571350412
10,73.1526613806593,73.6234701558186,63.8845982339595,66.7375615684408,68.2584657653025,69.2846126064162,70.1001615862165,70.7998299930271,71.4281538465042,72.0103895357237,72.5628742678408,73.0974096400179,73.6234701558186,74.1495306716194,74.6840660437964,75.2365507759136,75.8187864651331,76.4471103186102,77.1467787254207,77.9623277052211,78.9884745463347,80.5093787431964,83.3623420776778
11,60.3803698847207,62.7188873738925,52.9800166734505,55.8329796501226,57.3538836562375,58.3800303686553,59.1955792461722,59.8952475652326,60.5235713399074,61.1058069561048,61.6582916189312,62.1928269240686,62.7188873738925,63.2449478237165,63.7794831288539,64.3319677916803,64.9142034078777,65.5425271825525,66.2421955016129,67.0577443791298,68.0838910915476,69.6047950976625,72.4577580743346
12,44.9985848547025,49.2433378287632,39.5044683485155,42.3574309677366,43.8783347832957,44.9044813671463,45.7200301424821,46.4196983738804,47.0480220698317,47.6302576130802,48.1827422066851,48.7172774448499,49.2433378287632,49.7693982126764,50.3039334508413,50.8564180444462,51.4386535876946,52.066977283646,52.7666455150442,53.58219429038,54.6083408742306,56.1292446897897,58.9822073090108
13,35.1468353879348,33.9850417699485,24.2461735086745,27.0991357708022,28.6200393959961,29.6461858514082,30.4617345246652,31.1614026684889,31.7897262857956,32.3719617561681,32.9244462806208,33.4589814518801,33.9850417699485,34.511102088017,35.0456372592763,35.598121783729,36.1803572541015,36.8086808714082,37.5083490152319,38.3238976884889,39.350044143901,40.8709477690949,43.7239100312226
14,25.9136608551564,21.8784485821406,12.1395815386211,14.9925434440125,16.5134468790316,17.5395932061337,18.3551417774139,19.0548098337506,19.6831333724913,20.2653687700607,20.8178532254304,21.3523883298511,21.8784485821406,22.4045088344301,22.9390439388508,23.4915283942205,24.0737637917899,24.7020873305306,25.4017553868673,26.2173039581475,27.2434502852496,28.7643537202687,31.6173156256601
15,8.43200742614002,12.7286013063872,2.98973547940503,5.84269702841671,7.3636002734511,8.38974647237145,9.20529494177686,9.90496291071404,10.5332863709673,11.1155216958063,11.668006082162,12.2025411198109,12.7286013063872,13.2546614929636,13.7891965306124,14.3416809169681,14.9239162418072,15.5522397020604,16.2519076709976,17.067456140403,18.0936023393233,19.6145055843577,22.4674671333694
16,5.90373104401574,1.1227742944481,-8.6160903172121,-5.7631291242241,-4.24222606898462,-3.21607999811799,-2.40053163048562,-1.70086374886065,-1.07254036701647,-0.490305114835114,0.0621792025755468,0.596714173519277,1.1227742944481,1.64883441537693,2.18336938632066,2.73585370373132,3.31808895591268,3.94641233775685,4.64608021938182,5.4616285870142,6.48777465788082,8.0086777131203,10.8616389061083
17,-2.76966750579707,-3.1898017821849,-12.9286651797367,-10.0757043424168,-8.55480147678275,-7.52865553384198,-6.71310726788103,-6.01343947348108,-5.38511616996767,-4.80288099037144,-4.25039674183696,-3.71586183753174,-3.1898017821849,-2.66374172683806,-2.12920682253283,-1.57672257399836,-0.994487394402128,-0.366164090888718,0.33350370351123,1.14905196947219,2.17519791241296,3.69610077804704,6.54906161536687
18,-13.1069723529908,-6.80092240393443,-16.5397845885895,-13.6868241065829,-12.1659214303649,-11.1397756152224,-10.3242274508313,-9.62455974356936,-8.99623651830854,-8.41400141122499,-7.86151723149796,-7.32698239376474,-6.80092240393443,-6.27486241410411,-5.74032757637089,-5.18784339664386,-4.60560828956031,-3.97728506429949,-3.27761735703751,-2.4620691926465,-1.43592337750391,0.084979298714015,2.93793978072063
19,-7.93495565763881,-11.2447920944819,-20.9836530674502,-18.1306929404024,-16.6097904534116,-15.5836447659397,-14.7680967030174,-14.0684290828064,-13.4401059357201,-12.8578709010769,-12.3053867900887,-11.7708520188611,-11.2447920944819,-10.7187321701028,-10.1841973988752,-9.63171328788695,-9.04947825324375,-8.42115510615746,-7.72148748594652,-6.90593942302413,-5.87979373555224,-4.35889124856152,-1.50593112151367
