"t","y","mu","q_010","q_015","q_020","q_025","q_030","q_035","q_040","q_045","q_050","q_055","q_060","q_065","q_070","q_075","q_080","q_085","q_090","q_095"
1,5.31031324464827,3.9620122093211,0.766878422852617,1.54824785845516,2.12520874209702,2.4860985198557,2.89615924684892,3.20185069196285,3.47276723384442,3.72014740606641,3.90815443134906,4.13871599963952,4.39123115117661,4.68012655533202,4.99649647552405,5.35173689707317,5.77395323359856,6.37826336709004,7.13750201720805,8.50779302130266
2,5.54662226730076,3.65641614862293,0.497602092426975,1.33463731553188,1.91179201353117,2.30188228040109,2.68370815250759,2.98236686642756,3.24286747472875,3.4765263860646,3.68929898282035,3.89235521899819,4.13191772095657,4.43272422072312,4.73329761714548,5.09592827212431,5.53129884092332,6.11909028527662,6.95101124661934,8.22826995252519
3,2.66412695569739,3.9751869558804,0.776069640027978,1.53418304122392,2.09873350849919,2.53382393408482,2.928994504051,3.25025929407217,3.53230253040707,3.76571421153159,3.97312110257391,4.19400053105624,4.43716748875938,4.70491420169146,5.0304414032945,5.380215974875,5.81311046391354,6.33672531732023,7.19519666739366,8.60205548978913
4,3.4849406043066,2.35932138645455,-1.00373117843623,-0.0963598152898615,0.473939232505049,0.965362232062192,1.29045424543486,1.63262225544733,1.92585626504423,2.14397643513085,2.36853314333954,2.5780490673393,2.80952571719201,3.0495416622911,3.36589608789908,3.72486894034372,4.1809128801911,4.75646856449057,5.5465448964998,6.87347657434643
5,4.65076301432122,2.89096436258396,-0.417801858976802,0.463410161358659,1.03529969521632,1.48206870219437,1.86443401121599,2.14036978463489,2.41216790204532,2.65943989638091,2.86775649667331,3.11448002294514,3.35073393508344,3.57155240538726,3.91993117501714,4.25749140987331,4.69433407068325,5.24597196440018,5.98507605863346,7.38424414139936
6,3.42152768048677,3.55130302162887,0.177031849468798,0.988183706841958,1.56779074521771,2.08450716194899,2.49881021442824,2.81698893495451,3.1159178822312,3.35680786814342,3.56861480388763,3.76733558491787,4.00427759860959,4.29476924242783,4.6009042301447,4.96388503959214,5.39127357337527,5.965350390055,6.79342962088382,8.19746663716206
7,4.58630000958914,2.700130203792,-0.412645233845307,0.342690431719977,0.903604865544771,1.35768577646448,1.72784101991574,2.02789083111791,2.28584016820223,2.53661778097128,2.73546520787516,2.95034729118135,3.18052113288988,3.451724051474,3.76560385968997,4.1243316288221,4.54377941360103,5.13846931806808,5.91825437346748,7.20049366746188
8,2.98295910917909,3.22200820758745,-0.0411053827539669,0.796848970397103,1.36191510523965,1.74344099916348,2.11147509410869,2.44480491122358,2.71418206169876,2.9559045783419,3.1692004132482,3.37509532235774,3.61133977324696,3.87005525423496,4.18791941701217,4.56260095345908,5.00353128899049,5.59420660557993,6.38218770483161,7.76024589266136
9,-1.70675427975721,2.03698906100741,-1.25857365151173,-0.333758119131637,0.189627492817023,0.595050562719359,0.978703912685115,1.31038780022083,1.58191095323977,1.81553078823759,2.02814401893645,2.25179709675094,2.48116516639956,2.76133886596054,3.04226123816625,3.44225610276548,3.87536849160723,4.52748930006563,5.27691568317569,6.60395746777235
10,-0.356781430013909,-1.02405256785432,-4.29158985065774,-3.4761833515938,-2.92178153217473,-2.4497665405952,-2.08632416292985,-1.74862740007972,-1.45987401776557,-1.19459442462068,-0.96429658714038,-0.768019836206736,-0.510676949348559,-0.253536238707692,0.0582229233826589,0.412259690567843,0.888031679878105,1.46404368405537,2.31032192943243,3.64753427628516
