file_path	scope	tau_status	family_qspec_relevance	action_needed	notes
tools/merge_reports/20260308_static_shrinkage_compare_report.R	static shrink higher-level compare	fixed_to_family_qspec_grid	direct	patched	Now resolves tau set from the simulation truth when available and otherwise falls back to 0.05/0.25/0.95.
tools/merge_reports/20260305_static_postprocess_from_existing_fits.R	static root-local postprocess	fixed_to_family_qspec_grid	direct	patched	Now prefers run_config taus, then sim$p, then 0.05/0.25/0.95.
tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	static fresh pipeline fallback	fixed_to_family_qspec_grid	direct	patched	Default tau fallback now matches the canonical relaunch grid when the sim file does not provide taus.
tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	dynamic fresh pipeline fallback	fixed_to_family_qspec_grid	direct	patched	Default tau fallback now matches the canonical relaunch grid when the sim file does not provide taus.
tools/merge_reports/20260308_run_static_simple_qspec_campaign.sh	legacy generic qspec wrapper	fixed_to_family_qspec_grid	adjacent	patched	Wrapper default tau list updated even though the family-qspec launch path uses prepared-input discovery.
tools/merge_reports/20260308_run_static_shrinkage_qspec_campaign.sh	legacy generic qspec wrapper	fixed_to_family_qspec_grid	adjacent	patched	Wrapper default tau list updated even though the family-qspec launch path uses prepared-input discovery.
tools/merge_reports/20260308_run_dynamic_dlm_qspec_campaign.sh	legacy generic qspec wrapper	fixed_to_family_qspec_grid	adjacent	patched	Wrapper default tau list updated even though the family-qspec launch path uses prepared-input discovery.
tools/merge_reports/20260309_run_static_paper_family_qspec_campaign.sh	family-qspec dataset generator wrapper	already_on_family_qspec_grid	direct	none	Wrapper scope is now aligned to the family-qspec families normal/laplace/gausmix and the canonical tau grid 0.05/0.25/0.95.
tools/merge_reports/20260309_run_static_shrinkage_family_qspec_campaign.sh	family-qspec dataset generator wrapper	already_on_family_qspec_grid	direct	none	Wrapper scope is now aligned to the family-qspec families normal/laplace/gausmix and the canonical tau grid 0.05/0.25/0.95.
tools/merge_reports/20260309_run_dynamic_family_qspec_campaign.sh	family-qspec dataset generator wrapper	already_on_family_qspec_grid	direct	none	Wrapper scope is now aligned to the family-qspec families normal/laplace/gausmix and the canonical tau grid 0.05/0.25/0.95.
