"phase","candidate_label","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","accepted_gate","source_gate_current","source_compare","source_selected_variant_tag","reference_fit_path","candidate_fit_path","override_burn","override_n","override_proposal","override_joint_sample","override_slice_width","override_slice_max_steps","override_laplace_refresh_interval","override_laplace_refresh_start","override_laplace_refresh_weight","reason"
"phase1_static_exal_primary","row152_row87_histshort","static_paper::gausmix::0p25::1000::paper::exal::mcmc","static_paper","gausmix","0p25",1000,"paper","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_row87fix11_R87_F085_sub2_s1025_histshort_seed2026079087.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row152_row87_histshort.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Row-87 best historical low-mid anchor; highest-value same-scenario rescue corridor."
"phase1_static_exal_primary","row156_rhsns_current","static_paper::gausmix::0p95::1000::paper::exal::mcmc","static_paper","gausmix","0p95",1000,"paper","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row156_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small-candidate paper row; switch baseline failure to the strongest current rhsns refresh family."
"phase1_static_exal_primary","row168_rhsns_impl","static_paper::laplace::0p95::1000::paper::exal::mcmc","static_paper","laplace","0p95",1000,"paper","exal","mcmc","WARN","FAIL","worse_than_accepted","static_exal_f080_sub2_s105_rhsns_current_20260403","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_rhsns_impl_refresh_20260329.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row168_rhsns_impl.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current rhsns replay failed; fall back to earlier rhsns implementation refresh in the same scenario."
"phase1_static_exal_primary","row174_rhsns_current","static_paper::normal::0p25::100::paper::exal::mcmc","static_paper","normal","0p25",100,"paper","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100/fits/mcmc/mcmc_exal_tau_0p25_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row174_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small-candidate paper row; use current rhsns refresh rather than plain baseline."
"phase1_static_exal_primary","row176_row135_histshort","static_paper::normal::0p25::1000::paper::exal::mcmc","static_paper","normal","0p25",1000,"paper","exal","mcmc","PASS","FAIL","worse_than_accepted","rowfix9_R135_F0825_sub2_s105_none_seed2026091351","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_rowfix9_R135_F0825_sub2_s105_histshort_seed2026054135.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row176_row135_histshort.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Row-135 exact-none replay failed; pivot to the same row-local histshort corridor instead of repeating the same seed path."
"phase1_static_exal_primary","row180_rhsns_current","static_paper::normal::0p95::1000::paper::exal::mcmc","static_paper","normal","0p95",1000,"paper","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000/fits/mcmc/mcmc_exal_tau_0p95_fit_orig288_sync0p4p0_followup_20260407_row180_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Small-candidate paper row; current rhsns refresh is the strongest reusable local family on disk."
"phase1_static_exal_primary","row182_rhsns_impl","static_shrink::gausmix::0p05::100::ridge::exal::mcmc","static_shrink","gausmix","0p05",100,"ridge","exal","mcmc","PASS","FAIL","worse_than_accepted","static_exal_f080_sub2_s105_rhsns_current_20260403","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_rhsns_impl_refresh_20260329.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row182_rhsns_impl.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Accepted current rhsns replay failed; try the lighter rhsns implementation refresh before widening further."
"phase1_static_exal_primary","row184_rhsns_current","static_shrink::gausmix::0p05::1000::ridge::exal::mcmc","static_shrink","gausmix","0p05",1000,"ridge","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p05_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row184_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"High-value ridge residual; current rhsns refresh remains the best broad local static profile on disk."
"phase1_static_exal_primary","row220_rhsns_current","static_shrink::gausmix::0p05::1000::rhs::exal::mcmc","static_shrink","gausmix","0p05",1000,"rhs","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/mcmc/mcmc_exal_tau_0p05_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000/fits/mcmc/mcmc_exal_tau_0p05_fit_orig288_sync0p4p0_followup_20260407_row220_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rhs row must stay rhs_ns; current rhsns refresh is the strongest reusable local family on disk."
"phase1_static_exal_primary","row186_rhsns_current","static_shrink::gausmix::0p25::100::ridge::exal::mcmc","static_shrink","gausmix","0p25",100,"ridge","exal","mcmc","WARN","FAIL","worse_than_accepted","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p25_fit_static_exal_f080_sub2_s105_rhsns_current_20260403.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100/fits/mcmc/mcmc_exal_tau_0p25_fit_orig288_sync0p4p0_followup_20260407_row186_rhsns_current.rds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Compact ridge row with only one strong reusable tuned family on disk; try current rhsns refresh."
