"scope_label","row_id","candidate_id","probe_reason","target_outcome"
"current_rhsns_refresh",135,"F0825_sub2_s105","row 135 only lower-jump historical PASS candidate","WARN_OR_BETTER"
"current_rhsns_refresh",135,"F0830_sub2_s105","row 135 bridge between lower-jump PASS and upper-mid stable fallback","WARN_OR_BETTER"
"current_rhsns_refresh",135,"F0835_sub2_s1025","row 135 unstable wave-4 PASS candidate","WARN_OR_BETTER"
"current_rhsns_refresh",135,"F0840_sub2_s1025","row 135 new midpoint between unstable PASS and stable upper-mid WARN region","WARN_OR_BETTER"
"current_rhsns_refresh",135,"F0845_sub2_s1025","row 135 stable widened upper-mid fallback","WARN_OR_BETTER"
"current_rhsns_refresh",190,"F0830_sub2_s1025","row 190 new lower-mid widened bridge near best current ridge","WARN_OR_BETTER"
"current_rhsns_refresh",190,"F0835_sub2_s1025","row 190 historical WARN-only bridge with no observed FAIL","WARN_OR_BETTER"
"current_rhsns_refresh",190,"F0840_sub2_s1025","row 190 new midpoint inside the widened positive ridge","WARN_OR_BETTER"
"current_rhsns_refresh",190,"F0845_sub2_s1025","row 190 stable widened comparator inside the same ridge","WARN_OR_BETTER"
"legacy_rhs_refresh",269,"F0825_sub2_s100","row 269 repeated lower-jump WARN fallback","WARN_OR_BETTER"
"legacy_rhs_refresh",269,"F0840_sub2_s100","row 269 new scale-1.000 midpoint near the safest observed region","WARN_OR_BETTER"
"legacy_rhs_refresh",269,"F085_sub2_s100","row 269 broad default control for direct comparison","WARN_OR_BETTER"
"legacy_rhs_refresh",269,"F0860_sub2_s100","row 269 upper-mid scale-1.000 probe beyond the default","WARN_OR_BETTER"
