"phase","candidate_label","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","accepted_gate","source_gate_current","source_compare","source_selected_variant_tag","reference_fit_path","candidate_fit_path","override_burn","override_n","override_proposal","override_joint_sample","override_slice_width","override_slice_max_steps","override_laplace_refresh_interval","override_laplace_refresh_start","override_laplace_refresh_weight","reason"
"phase1_dynamic_tail_primary","tail6_gmix005_tt5000_rw_refresh_ultra","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_gmix005_tt5000_rw_refresh_ultra.rds",6000,18000,"laplace_rw",TRUE,NA,NA,10,50,0.9,"Hard long-horizon low-tail gausmix row; RW retries improved diagnostics but remained unstable, so keep RW and strengthen refresh plus budget."
"phase1_dynamic_tail_primary","tail6_gmix025_tt500_slice_mid240","dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_slice_pilot_20260318.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_gmix025_tt500_slice_mid240.rds",2000,8000,"slice",FALSE,0.16,240,NA,NA,NA,"Only non-low-tail accepted FAIL in the dynamic tail; best archived slice corridor stayed gamma-limited, so keep slice but widen stepping and extend budget."
"phase1_dynamic_tail_primary","tail6_lap005_tt500_rw_refresh_ultra","dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_lap005_tt500_rw_refresh_ultra.rds",2500,10000,"laplace_rw",TRUE,NA,NA,10,50,0.9,"Short-horizon low-tail laplace row has both sigma and gamma instability; start with a stronger RW refresh corridor before switching families."
"phase1_dynamic_tail_primary","tail6_lap005_tt5000_rw_refresh_ultra","dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_lap005_tt5000_rw_refresh_ultra.rds",6000,18000,"laplace_rw",TRUE,NA,NA,10,50,0.9,"Long-horizon low-tail laplace row is the hardest full-instability case; keep RW exactness but increase refresh strength and runtime substantially."
"phase1_dynamic_tail_primary","tail6_norm005_tt500_slice_mid240","dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail8_slice_sync_long_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_norm005_tt500_slice_mid240.rds",2500,9000,"slice",FALSE,0.16,240,NA,NA,NA,"Short-horizon low-tail normal row became sigma-stable under RW while gamma still failed, so pivot to a longer slice corridor aimed at gamma mixing."
"phase1_dynamic_tail_primary","tail6_norm005_tt5000_slice_mid240","dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail8_slice_sync_long_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_norm005_tt5000_slice_mid240.rds",5000,16000,"slice",FALSE,0.16,240,NA,NA,NA,"Long-horizon low-tail normal row improved a lot under larger RW budgets but still failed on gamma, so pivot to a longer slice corridor for gamma mixing."
"phase2_dynamic_tail_alternate","tail6_gmix005_tt5000_slice_mid240","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail8_slice_sync_long_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_gmix005_tt5000_slice_mid240.rds",6000,18000,"slice",FALSE,0.16,240,NA,NA,NA,"Hardest gausmix long-horizon row still needs an alternate exact kernel after repeated RW failures; test the strongest long slice corridor on the synced base."
"phase2_dynamic_tail_alternate","tail6_lap005_tt500_slice_mid240","dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail8_slice_sync_long_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_lap005_tt500_slice_mid240.rds",2500,10000,"slice",FALSE,0.16,240,NA,NA,NA,"Short-horizon laplace low-tail row still needs an alternate exact kernel after RW instability; test a longer slice corridor directly on gamma."
"phase2_dynamic_tail_alternate","tail6_lap005_tt5000_slice_mid240","dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail8_slice_sync_long_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_tail6_lap005_tt5000_slice_mid240.rds",6000,18000,"slice",FALSE,0.16,240,NA,NA,NA,"Long-horizon laplace low-tail row remains unstable after RW retries; use a long slice alternate rather than repeating the same RW family again."
"phase3_dynamic_replay_repair","replay254_slice_mid240","dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic","gausmix","0p05",500,"default","exdqlm","mcmc","WARN","FAIL","worse_than_accepted","orig288_dyn_tail7_rw_refresh4_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail8_slice_sync_long_20260405.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_closure_20260407_replay254_slice_mid240.rds",2500,9000,"slice",FALSE,0.16,240,NA,NA,NA,"Accepted healthy replay row 254 still fails on gamma under RW exact-long; switch to the strongest archived slice corridor with a larger budget."
