"phase","candidate_label","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","accepted_gate","source_gate_current","source_compare","source_selected_variant_tag","reference_candidate_label","candidate_fit_path","restored_sim_output_path","synthetic_baseline_path","override_burn","override_n","override_proposal","override_joint_sample","override_slice_width","override_slice_max_steps","override_laplace_refresh_interval","override_laplace_refresh_start","override_laplace_refresh_weight","override_mh_adapt","reason"
"phase1_dynamic_reinforcement","final_gmix005_tt5000_slice_deep320_long","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_gmix005_tt5000_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix005_tt5000_slice_deep320_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0007_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0007_synthetic_baseline.rds",12000,36000,"slice",FALSE,0.18,320,NA,NA,NA,FALSE,"Use the strongest prior gausmix TT5000 slice corridor and extend it materially; this row improved under deep slice and still looks like an ESS-limited exact-kernel problem."
"phase1_dynamic_reinforcement","final_gmix005_tt5000_slice_wide360_xlong","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_gmix005_tt5000_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix005_tt5000_slice_wide360_xlong.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0007_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0007_synthetic_baseline.rds",14000,42000,"slice",FALSE,0.2,360,NA,NA,NA,FALSE,"Push the hardest gausmix TT5000 row into a wider exact-kernel corridor rather than replaying the weak 0.16/240 alternate again."
"phase1_dynamic_reinforcement","final_gmix025_tt500_slice_deep320_long","dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_gmix025_tt500_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix025_tt500_slice_deep320_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0011_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0011_synthetic_baseline.rds",5000,20000,"slice",FALSE,0.18,320,NA,NA,NA,FALSE,"Reinforce the strongest tau=0.25 gausmix near-miss with more post-burn draw budget before abandoning slice on the only mid-tail dynamic failure."
"phase1_dynamic_reinforcement","final_gmix025_tt500_slice_deep400_xlong","dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_gmix025_tt500_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_gmix025_tt500_slice_deep400_xlong.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0011_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0011_synthetic_baseline.rds",6000,24000,"slice",FALSE,0.18,400,NA,NA,NA,FALSE,"Keep gausmix tau=0.25 on slice, but push step depth further so the run explores one genuinely more aggressive corridor instead of repeating the refine default."
"phase1_dynamic_reinforcement","final_lap005_tt500_rw_refresh_noadapt","dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_lap005_tt500_rw_joint_deep","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt500_rw_refresh_noadapt.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0027_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0027_synthetic_baseline.rds",4000,16000,"laplace_rw",TRUE,NA,NA,8,25,0.92,FALSE,"Check whether adaptation is the part still hurting the short laplace row by turning it off while keeping the strongest RW family otherwise intact."
"phase1_dynamic_reinforcement","final_lap005_tt500_rw_refresh_refine_long","dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_lap005_tt500_rw_joint_deep","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt500_rw_refresh_refine_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0027_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0027_synthetic_baseline.rds",4500,18000,"laplace_rw",TRUE,NA,NA,8,25,0.92,TRUE,"The short laplace row still prefers RW over slice; keep the refine-style RW family and pay more budget for mixing rather than pivoting away from the best family."
"phase1_dynamic_reinforcement","final_lap005_tt5000_slice_deep320_long","dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_lap005_tt5000_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt5000_slice_deep320_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0031_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0031_synthetic_baseline.rds",12000,36000,"slice",FALSE,0.18,320,NA,NA,NA,FALSE,"The hard laplace TT5000 row still looks best under slice; keep that family and widen compute rather than reopening the already screened faithful 0.16/240 corridor."
"phase1_dynamic_reinforcement","final_lap005_tt5000_slice_wide360_xlong","dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_lap005_tt5000_slice_deep320","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_lap005_tt5000_slice_wide360_xlong.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0031_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0031_synthetic_baseline.rds",14000,42000,"slice",FALSE,0.2,360,NA,NA,NA,FALSE,"Use one wider slice corridor on the hardest laplace long row so the overnight lane explores a real exact-kernel expansion rather than only incremental length."
"phase1_dynamic_reinforcement","final_norm005_tt500_rw_joint_refine_long","dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_refine_norm005_tt500_rw_joint_deep","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt500_rw_joint_refine_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0051_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0051_synthetic_baseline.rds",5000,20000,"laplace_rw",TRUE,NA,NA,8,25,0.92,TRUE,"Normal TT500 remains difficult; reinforce the best joint-RW corridor once more at a longer budget before treating the row as purely slice-driven."
"phase1_dynamic_reinforcement","final_norm005_tt500_rw_nonjoint_adapt_long","dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","FAIL","accepted_tail_fail","baseline","tail6_localmix_norm005_tt500_rw_adapt_nj","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_sync0p4p0_dynamic_restored_closure_20260410_final_norm005_tt500_rw_nonjoint_adapt_long.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/restored_sources/row_0051_sim_output_restored.rds","tools/merge_reports/full288_original288_syncedbase_dynamic_restored_closure_20260410/synthetic_baselines/row_0051_synthetic_baseline.rds",4500,18000,"laplace_rw",FALSE,NA,NA,25,25,0.6,TRUE,"Keep a non-joint adaptive RW hedge alive on the short normal row because joint RW and slice each solved different parts of the failure and this row still needs a hybrid search."
