lane_label,paper_matched,family,tau,sample_size,train_replications,test_replications,test_size,models,inference,exal_kernel,exal_slice_width,exal_slice_max_steps,total_iter,burn,thin,kept_draws,evaluation_bundle,notes
paper_matched_core,TRUE,normal,0p05,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,normal,0p25,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,normal,0p50,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,laplace,0p05,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,laplace,0p25,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,laplace,0p50,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,gausmix,0p05,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,gausmix,0p25,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
paper_matched_core,TRUE,gausmix,0p50,100,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","direct paper-style target"
extension_n1000,FALSE,normal,0p05,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,normal,0p25,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,normal,0p50,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,laplace,0p05,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,laplace,0p25,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,laplace,0p50,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,gausmix,0p05,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,gausmix,0p25,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
extension_n1000,FALSE,gausmix,0p50,1000,100,100,100,"al|exal",mcmc,slice,0.01,Inf,150000,50000,20,5000,"cie|beta_rmse|beta_coverage|interval_score|health_gate|runtime","extension lane; not directly paper-matched"
