rule_id,phase,priority,action,root_kind,block,prior_semantics,inference,tau_selector,family_selector,fit_size_selector,target_profile,audit_required,hold_fixed,target_behavior,rationale
static_shrink_rhs_legacy_freeze,phase0_static_prior_correction,1,freeze_legacy,static,static_shrink,rhs,*,*,*,*,legacy_mixed_prior_freeze,FALSE,FALSE,freeze the current rhs branch as historical mixed-prior output,current accepted rhs branch mixes explicit rhs_ns; explicit legacy rhs; and ambiguous carry-forward rows
static_shrink_rhsns_full_rebuild_mcmc,phase0_static_prior_correction,2,rebuild_required,static,static_shrink,rhs,mcmc,*,*,*,static_rhsns_full_rebuild,FALSE,FALSE,rebuild all shrink rhs mcmc rows under explicit rhs_ns,current scientific standard is rhs_ns-only and current rhs mcmc is not a clean prior-family result
static_shrink_rhsns_full_rebuild_vb,phase0_static_prior_correction,3,rebuild_required,static,static_shrink,rhs,vb,*,*,*,static_rhsns_full_rebuild,FALSE,FALSE,rebuild all shrink rhs vb rows under explicit rhs_ns,current scientific standard is rhs_ns-only and current rhs vb is not a clean prior-family result
static_paper_mcmc_propagate,phase1_static,4,propagate,static,static_paper,paper,mcmc,*,*,*,static_exal_ref_slice_long,FALSE,FALSE,make paper-style exAL MCMC the default reference for this cluster,strongest metric cluster and benchmark-aligned win
static_shrink_ridge_mcmc_propagate,phase1_static,5,propagate,static,static_shrink,ridge,mcmc,*,*,*,static_exal_ref_slice_long_shrink,FALSE,FALSE,extend the strong static MCMC exAL profile into ridge shrinkage,cluster is strongly favorable to exAL on broader metrics
static_paper_vb_tau025_repair,phase2_static_vb,6,repair,static,static_paper,paper,vb,0p25,*,*,static_exal_vb_tau025_repair,FALSE,FALSE,repair the known tau 0.25 exAL VB weakness in the paper block,cluster diagnosis shows persistent tau 0.25 weakness
static_shrink_ridge_vb_tau025_repair,phase2_static_vb,7,repair,static,static_shrink,ridge,vb,0p25,*,*,static_exal_vb_tau025_repair,FALSE,FALSE,repair the known tau 0.25 exAL VB weakness in the ridge shrinkage block,cluster diagnosis shows persistent tau 0.25 weakness
static_paper_vb_non025_hold_monitor,phase2_static_vb,8,hold_monitor,static,static_paper,paper,vb,0p05|0p95,*,*,static_exal_vb_hold,FALSE,TRUE,keep non-0.25 paper VB clusters stable while tau 0.25 is diagnosed,non-0.25 paper VB is mixed-to-positive and should not be perturbed first
static_shrink_ridge_vb_non025_hold_monitor,phase2_static_vb,9,hold_monitor,static,static_shrink,ridge,vb,0p05|0p95,*,*,static_exal_vb_hold,FALSE,TRUE,keep non-0.25 ridge VB clusters stable while tau 0.25 is diagnosed,non-0.25 ridge VB is mixed-to-positive and should not be perturbed first
dynamic_tau095_mcmc_reinforce,phase3_dynamic,10,reinforce,dynamic,*,default,mcmc,0p95,*,*,dynamic_exdqlm_tau095_ref,FALSE,FALSE,stabilize the strongest exDQLM MCMC tail cluster,cluster diagnosis shows tau 0.95 is the clear dynamic strength
dynamic_tau095_vb_reinforce,phase3_dynamic,11,reinforce,dynamic,*,default,vb,0p95,*,*,dynamic_exdqlm_tau095_ref_vb,FALSE,FALSE,stabilize the strongest exDQLM VB tail cluster,loss-based metrics are strongest here
dynamic_lowmid_mcmc_repair,phase4_dynamic_repair,12,repair,dynamic,*,default,mcmc,0p05|0p25,*,*,dynamic_exdqlm_lowmid_repair,FALSE,FALSE,repair calibration and q_rmse in low/mid tau dynamic MCMC,these are the weak dynamic MCMC clusters
dynamic_lowmid_vb_repair,phase4_dynamic_repair,13,repair,dynamic,*,default,vb,0p05|0p25,*,*,dynamic_exdqlm_lowmid_repair_vb,FALSE,FALSE,repair calibration in low/mid tau dynamic VB,pplc wins alone are not enough when calibration collapses
